Subject,predicate10,predicate21,predicate4,predicate2,predicate12
http://example.org/resource/subject38126,http://example.org/resource/object54676,,,,
http://example.org/resource/subject88060,http://example.org/resource/object13123,,,,
http://example.org/resource/subject36490,http://example.org/resource/object38635,http://example.org/resource/object37462,http://example.org/resource/object86883,,
http://example.org/resource/subject18426,http://example.org/resource/object81822,,,http://example.org/resource/object6643,
http://example.org/resource/subject26614,http://example.org/resource/object45686,,,,http://example.org/resource/object96132
http://example.org/resource/subject3297,http://example.org/resource/object55860,,,,
http://example.org/resource/subject91643,http://example.org/resource/object81534,http://example.org/resource/object21246,,,
http://example.org/resource/subject3120,http://example.org/resource/object76700,,,,
http://example.org/resource/subject17526,http://example.org/resource/object58820,,,,
http://example.org/resource/subject83649,http://example.org/resource/object62095,,,,
http://example.org/resource/subject13063,http://example.org/resource/object72114,,,,
