Subject,predicate15,predicate6,predicate4,predicate21,predicate9,predicate20
http://example.org/resource/subject31629,http://example.org/resource/object97162,,,,,
http://example.org/resource/subject1689,http://example.org/resource/object38558,,,,,
http://example.org/resource/subject25562,http://example.org/resource/object9402,,,,,
http://example.org/resource/subject55402,http://example.org/resource/object39160,,,,,
http://example.org/resource/subject92227,http://example.org/resource/object14396,,,,,http://example.org/resource/object28513
http://example.org/resource/subject44493,http://example.org/resource/object7236,,,,,
http://example.org/resource/subject75047,http://example.org/resource/object21129,http://example.org/resource/object29091,,,,
http://example.org/resource/subject97811,http://example.org/resource/object91413,,,,,
http://example.org/resource/subject86503,http://example.org/resource/object8859,,,,,
http://example.org/resource/subject87217,http://example.org/resource/object66447,,,,,
http://example.org/resource/subject73527,http://example.org/resource/object37435,,,,,
http://example.org/resource/subject44451,http://example.org/resource/object36182,,,,,
http://example.org/resource/subject7102,http://example.org/resource/object27319,,,,,
http://example.org/resource/subject41652,http://example.org/resource/object94494,,,,,
http://example.org/resource/subject60862,http://example.org/resource/object68170,,,http://example.org/resource/object51439,,
http://example.org/resource/subject27703,http://example.org/resource/object6534,,,,http://example.org/resource/object45974,
http://example.org/resource/subject87384,http://example.org/resource/object67822,,http://example.org/resource/object25746,,,
http://example.org/resource/subject4665,http://example.org/resource/object10371,,,,,
http://example.org/resource/subject74788,http://example.org/resource/object52865,,,,,
