Subject,predicate3,predicate18,predicate12,predicate22,predicate10,predicate9,predicate11,predicate7,predicate2
http://example.org/resource/subject76132,http://example.org/resource/object40513,,,,,,,,
http://example.org/resource/subject63916,http://example.org/resource/object3774,,,,,,,,
http://example.org/resource/subject31851,http://example.org/resource/object13478,http://example.org/resource/object10216,,,,,,,
http://example.org/resource/subject97436,http://example.org/resource/object51381,,,,,,,,
http://example.org/resource/subject73189,http://example.org/resource/object33491,,,,,,,,
http://example.org/resource/subject39405,http://example.org/resource/object67776,,,,,,,,
http://example.org/resource/subject60542,http://example.org/resource/object47336,,,,,,,,
http://example.org/resource/subject82235,http://example.org/resource/object88572,,,,,,,,
http://example.org/resource/subject34780,http://example.org/resource/object23912,,,,,,,,
http://example.org/resource/subject7659,http://example.org/resource/object84881,,,,,,,,
http://example.org/resource/subject80200,http://example.org/resource/object77613,,,,,,,,
http://example.org/resource/subject30539,http://example.org/resource/object46408,,,,,,,,
http://example.org/resource/subject86485,http://example.org/resource/object43469,,,,,,,,
http://example.org/resource/subject44261,http://example.org/resource/object68140,,,,,,,,
http://example.org/resource/subject84228,http://example.org/resource/object30234,,,,,,,,
http://example.org/resource/subject11070,http://example.org/resource/object83931,,,,,,,,
http://example.org/resource/subject98330,http://example.org/resource/object45705,,,,,,,,
http://example.org/resource/subject80697,http://example.org/resource/object6202,,,,,,,,
http://example.org/resource/subject99369,http://example.org/resource/object143,,,,,,,,
http://example.org/resource/subject62303,"http://example.org/resource/object95412,http://example.org/resource/object64791",,,,,,,,
http://example.org/resource/subject76165,http://example.org/resource/object92181,,,,,,,,
http://example.org/resource/subject66970,http://example.org/resource/object30888,,,,,,,,
http://example.org/resource/subject63759,http://example.org/resource/object57090,,,,,,,,
http://example.org/resource/subject91031,http://example.org/resource/object88679,,,,,,,,
http://example.org/resource/subject16182,http://example.org/resource/object63020,,,,,,,http://example.org/resource/object88988,
http://example.org/resource/subject93024,http://example.org/resource/object70361,,,,,,,,
http://example.org/resource/subject80270,http://example.org/resource/object36926,,http://example.org/resource/object49031,,,,,,
http://example.org/resource/subject86898,http://example.org/resource/object57056,,,,,,,,
http://example.org/resource/subject36634,http://example.org/resource/object29347,,,http://example.org/resource/object54938,,,,,
http://example.org/resource/subject38112,http://example.org/resource/object7058,http://example.org/resource/object55376,,,,,,,
http://example.org/resource/subject47525,http://example.org/resource/object85239,,,,,,,,
http://example.org/resource/subject27583,http://example.org/resource/object82400,,,,,,,,
http://example.org/resource/subject61817,http://example.org/resource/object87227,,,,,,,,
http://example.org/resource/subject94058,http://example.org/resource/object65563,,,,,,,,
http://example.org/resource/subject85957,http://example.org/resource/object64994,,,,,,,,
http://example.org/resource/subject24042,http://example.org/resource/object52500,,,,http://example.org/resource/object66685,,,,http://example.org/resource/object81100
http://example.org/resource/subject97232,http://example.org/resource/object44158,,,,,,,,
http://example.org/resource/subject69060,http://example.org/resource/object12813,,,,,,,,
http://example.org/resource/subject43126,http://example.org/resource/object4507,,,,,http://example.org/resource/object87107,,,
http://example.org/resource/subject49138,http://example.org/resource/object96364,,,,,,,,
http://example.org/resource/subject77305,http://example.org/resource/object42880,,,,,,,,
http://example.org/resource/subject87013,http://example.org/resource/object53243,,,,,,,,
http://example.org/resource/subject67920,http://example.org/resource/object29072,,,,,,http://example.org/resource/object29466,,
