Subject,predicate12,predicate21,predicate6,predicate7,predicate10,predicate1,predicate15,predicate9,predicate8,predicate19,predicate3,predicate5,predicate14,predicate22,predicate16,predicate2,predicate11,predicate17,predicate18,predicate4,predicate13,predicate20
http://example.org/resource/subject51361,http://example.org/resource/object30316,,,,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject24436,http://example.org/resource/object50151,,,,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject32185,http://example.org/resource/object9176,,,,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject58183,http://example.org/resource/object27161,,,,"http://example.org/resource/object51050,http://example.org/resource/object10182",,,,,,,,,,,,,,,,,
http://example.org/resource/subject6018,http://example.org/resource/object16358,,,,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject28686,http://example.org/resource/object20618,,,,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject42788,http://example.org/resource/object22328,,,,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject33844,http://example.org/resource/object85964,,,,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject86920,http://example.org/resource/object92807,,,,,,,,,,,http://example.org/resource/object48,,,,,,,,,,
http://example.org/resource/subject51681,http://example.org/resource/object23798,http://example.org/resource/object24657,,,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject78862,http://example.org/resource/object16541,,,,http://example.org/resource/object54903,,,,,,,,,,,,,,,,,
http://example.org/resource/subject37352,,http://example.org/resource/object88543,http://example.org/resource/object64886,,,,,,,,http://example.org/resource/object8346,,,,,,,,,,,
http://example.org/resource/subject40183,,,http://example.org/resource/object81128,,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject70023,,http://example.org/resource/object15312,,,,,,,,,,,,,,,,,,http://example.org/resource/object58245,,
http://example.org/resource/subject56473,http://example.org/resource/object18182,,,,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject50550,http://example.org/resource/object8657,,,,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject94632,,,http://example.org/resource/object44780,,,,,,,,,,,,,,,,,,http://example.org/resource/object4726,
http://example.org/resource/subject34001,,http://example.org/resource/object81056,,,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject53502,,,http://example.org/resource/object74568,,,,,,,,,,,,,,,,,http://example.org/resource/object49538,,
http://example.org/resource/subject73907,http://example.org/resource/object60916,,,,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject8975,,http://example.org/resource/object74379,,,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject78445,,http://example.org/resource/object29394,,,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject37125,,http://example.org/resource/object10203,,,,,,,,,http://example.org/resource/object92159,,,,,,,,,,,
http://example.org/resource/subject27930,,http://example.org/resource/object98935,,,,,,,,,,,http://example.org/resource/object82540,,http://example.org/resource/object43525,,,,,,,
http://example.org/resource/subject25692,,http://example.org/resource/object95920,,,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject47302,,,http://example.org/resource/object68870,,,,,,,,,,http://example.org/resource/object67911,,,,,,,,,
http://example.org/resource/subject22341,http://example.org/resource/object59512,,,,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject2546,,,http://example.org/resource/object14360,,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject60120,,,http://example.org/resource/object34196,,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject14384,http://example.org/resource/object50364,,,,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject44224,,,http://example.org/resource/object35863,,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject93673,,,http://example.org/resource/object56448,,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject84070,http://example.org/resource/object59139,,,http://example.org/resource/object79349,,,,,,,,,,,,,http://example.org/resource/object89435,,,,,
http://example.org/resource/subject29770,,,,http://example.org/resource/object36476,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject53637,http://example.org/resource/object30234,,,,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject24751,http://example.org/resource/object46217,,,,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject62720,,http://example.org/resource/object30247,,,,,,,,,,http://example.org/resource/object7222,,,,,,,,,,
http://example.org/resource/subject98103,,,http://example.org/resource/object20873,,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject46824,,,http://example.org/resource/object57040,,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject776,,,,http://example.org/resource/object83121,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject46444,,http://example.org/resource/object25702,,,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject41615,,,,http://example.org/resource/object49460,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject54573,,,http://example.org/resource/object49698,,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject66938,,http://example.org/resource/object48791,,,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject55097,http://example.org/resource/object22146,,,,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject28399,,,,http://example.org/resource/object93284,http://example.org/resource/object39279,,,,,,,,,,,,,,,,,
http://example.org/resource/subject25808,,,http://example.org/resource/object55467,,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject29353,,,,http://example.org/resource/object1588,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject48011,,,http://example.org/resource/object32690,,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject37672,,,,,http://example.org/resource/object36457,,,,,,,,,,,,,,,,,
http://example.org/resource/subject70533,,,,http://example.org/resource/object51186,,http://example.org/resource/object85117,,,,,,,,,,,,,,,,
http://example.org/resource/subject26002,,,,,,http://example.org/resource/object60466,,,,,,,,,,,,,,,,
http://example.org/resource/subject7599,,http://example.org/resource/object22206,,,,,,,,,,,,,,,,,,,http://example.org/resource/object99045,
http://example.org/resource/subject45313,,,,,,http://example.org/resource/object82026,,,,,,,,,,,,,,,,
http://example.org/resource/subject9457,,,,,,http://example.org/resource/object92887,,,,,,,,,,,,,,,,
http://example.org/resource/subject59555,,,,,http://example.org/resource/object11848,http://example.org/resource/object90196,,,,,,,,,,,,,,,,
http://example.org/resource/subject45123,,,http://example.org/resource/object44022,,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject82328,,http://example.org/resource/object45149,"http://example.org/resource/object51574,http://example.org/resource/object97811",,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject26744,http://example.org/resource/object22999,,http://example.org/resource/object22545,,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject40104,,http://example.org/resource/object23223,,,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject13406,http://example.org/resource/object81986,,,,,,,,,,,,,http://example.org/resource/object40056,,,,,,,,
http://example.org/resource/subject4248,,http://example.org/resource/object4415,,,,,http://example.org/resource/object22168,,,,,,,,,,,,,,,
http://example.org/resource/subject25650,,,,http://example.org/resource/object77413,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject68398,,,,http://example.org/resource/object27431,,,,,http://example.org/resource/object70999,,,,,,,,,,,,,
http://example.org/resource/subject92315,http://example.org/resource/object79765,,,,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject20251,,,,,,,http://example.org/resource/object7473,,,,,,,,,,,,,,,
http://example.org/resource/subject72183,,,,,,,http://example.org/resource/object97713,,,,,,,,,,,,,,,
http://example.org/resource/subject45485,,,,http://example.org/resource/object30589,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject60408,http://example.org/resource/object19698,,,,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject79289,http://example.org/resource/object50516,,,,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject82360,,http://example.org/resource/object48889,,,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject8706,,,,http://example.org/resource/object10236,http://example.org/resource/object665,,,,,,,,,,,,,,,,,
http://example.org/resource/subject84168,http://example.org/resource/object62399,,,,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject74973,,,,,,,http://example.org/resource/object76349,,,,,,,,,,,,,,,
http://example.org/resource/subject94725,,,,http://example.org/resource/object30704,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject59328,,,,,,http://example.org/resource/object65770,,,,http://example.org/resource/object58083,,,,,,,,,,,,
http://example.org/resource/subject41592,,http://example.org/resource/object15412,,,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject68221,,,,,,,http://example.org/resource/object64437,,,,,,,,,,,,,,,
http://example.org/resource/subject40809,,,,,,http://example.org/resource/object26520,,,,,,,,,,,,,,,,
http://example.org/resource/subject21118,,http://example.org/resource/object78912,,,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject60060,,,,,http://example.org/resource/object70585,,,,,,,,,,,,,,,,,
http://example.org/resource/subject39095,,,,,,,http://example.org/resource/object10174,http://example.org/resource/object91371,,,,,,,,,,,,,,
http://example.org/resource/subject87342,,,,,,http://example.org/resource/object42150,,,,,,,,,,,,,,,,
http://example.org/resource/subject40239,,,http://example.org/resource/object31285,,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject55625,,,http://example.org/resource/object63474,,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject4433,,http://example.org/resource/object85333,,,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject70890,,,,,http://example.org/resource/object70028,,,,,,,,,,,,,,,,,
http://example.org/resource/subject82133,,,,http://example.org/resource/object73180,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject55435,,http://example.org/resource/object82474,,,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject95281,,,,http://example.org/resource/object72410,http://example.org/resource/object92415,,,,,,,,,,,http://example.org/resource/object61881,,,,,,
http://example.org/resource/subject98423,,,http://example.org/resource/object61911,,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject48109,,,http://example.org/resource/object82721,,,,,,,,,,,,,,http://example.org/resource/object57723,,,,,
http://example.org/resource/subject90072,,,http://example.org/resource/object473,,,http://example.org/resource/object82612,,,,http://example.org/resource/object45976,,,,,,,,,,,,
http://example.org/resource/subject1355,,,,http://example.org/resource/object53423,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject44507,,,,,,http://example.org/resource/object18964,,,,,,,,,,,,,,,,
http://example.org/resource/subject85637,,,,,,http://example.org/resource/object31208,http://example.org/resource/object7458,,,,,,,,,,,,,,,
http://example.org/resource/subject79094,http://example.org/resource/object61058,,,,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject20919,,,,,,http://example.org/resource/object90358,,,,,,,,,,,,,,,,
http://example.org/resource/subject95624,,,,,,http://example.org/resource/object15983,,,,,,,,,,,,,,,,
