Subject,predicate17,predicate16,predicate8,predicate21,predicate9,predicate3,predicate19,predicate5,predicate22,predicate14,predicate15,predicate6,predicate20,predicate18,predicate10,predicate12
http://example.org/resource/subject11325,http://example.org/resource/object73335,,,,,,,,,,,http://example.org/resource/object36919,,,,
http://example.org/resource/subject3774,http://example.org/resource/object61027,,,,,,,,,,,,,,,
http://example.org/resource/subject95995,http://example.org/resource/object55725,,,,,,,,,,,,,,,
http://example.org/resource/subject94122,http://example.org/resource/object33804,http://example.org/resource/object43176,,,,,,http://example.org/resource/object87922,,,,,,,,
http://example.org/resource/subject14254,http://example.org/resource/object20144,,,,,,,,,,,,,,,
http://example.org/resource/subject40980,,http://example.org/resource/object66623,,,,,,,,,,,,,,
http://example.org/resource/subject38863,,http://example.org/resource/object37324,http://example.org/resource/object37086,,http://example.org/resource/object897,,,,,,,,,,,
http://example.org/resource/subject2588,http://example.org/resource/object27563,,,,,,,,,,,,,,,
http://example.org/resource/subject64018,http://example.org/resource/object17671,,,,http://example.org/resource/object24337,,,,,,,,,,,
http://example.org/resource/subject91458,,,http://example.org/resource/object43016,,,,,,,,,,,,,
http://example.org/resource/subject59805,http://example.org/resource/object45941,,,,,,,,,,,,,,,
http://example.org/resource/subject58331,http://example.org/resource/object368,,,,,,,,,,,,,,,
http://example.org/resource/subject23472,,,http://example.org/resource/object97980,,,,,,,,,,,,,
http://example.org/resource/subject9879,http://example.org/resource/object58828,,,,,,,,,,,,,,,
http://example.org/resource/subject22119,http://example.org/resource/object26521,,,,,,,,,,,,,,,
http://example.org/resource/subject30761,http://example.org/resource/object36040,,,http://example.org/resource/object77323,,,,,,,,,,,,
http://example.org/resource/subject91073,,,http://example.org/resource/object42479,,,,,,,,,,,,,
http://example.org/resource/subject68833,http://example.org/resource/object43148,,,,,,,,,,,,,,,
http://example.org/resource/subject24561,,,http://example.org/resource/object93560,,,http://example.org/resource/object88311,,,,,,,,,,
http://example.org/resource/subject70190,,,http://example.org/resource/object58996,,,,,,,,,,,,,
http://example.org/resource/subject64148,http://example.org/resource/object4244,,,,,,,,,,,,,,,
http://example.org/resource/subject22114,,,http://example.org/resource/object14870,,,,,,,,,,,,,
http://example.org/resource/subject49694,http://example.org/resource/object44899,,,,,,,,,,,,,,,
http://example.org/resource/subject75451,http://example.org/resource/object22559,,,,,,,,,,,,,,,
http://example.org/resource/subject2161,http://example.org/resource/object14289,http://example.org/resource/object57891,,,,,,,,,,,,,,
http://example.org/resource/subject28602,,,http://example.org/resource/object23724,,,,,,,,,,,,,
